# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
135
20 8 36 0
24 14 15 0
25 14 13 0
28 12 11 2
29 12 2 2
29 13 2 0
32 11 1 2
43 20 70 0
49 20 19 0
50 3 15 0
51 3 19 0
67 4 24 0
70 21 70 0
72 5 22 0
73 5 25 0
74 22 21 0
76 24 72 0
80 7 26 0
81 7 27 0
85 72 23 0
86 23 6 0
87 28 27 0
96 29 28 0
101 29 73 0
103 119 118 0
104 127 126 0
105 23 124 0
109 135 127 0
116 125 124 0
121 134 125 0
122 134 126 0
126 109 108 0
127 108 107 0
130 106 105 2
131 107 130 0
131 130 106 2
134 105 1 2
145 112 111 0
151 111 110 0
152 131 109 0
153 131 110 0
169 117 4 0
172 113 112 0
174 132 114 0
175 132 118 0
176 114 113 0
178 116 117 0
182 133 119 0
183 133 120 0
187 115 116 0
188 115 6 0
189 121 120 0
198 121 122 0
203 122 123 0
# Condições de fronteira mistas  - Convecção natural
0
