Information listing created by	User
Date	10-Dec-2023 23:25:06
Current work part	C:\Users\User\Desktop\Nx\Malhas Base\Tri3\GeometriaBase_Tri3_fem.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  125                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 80 78 81
  126                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 87 109 108
  127                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 108 107 89
  128                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 89 88 87
  129                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 89 87 108
  130                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 106 105 90
  131                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 107 130 106
  132                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 90 89 107
  133                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 90 107 106
  134                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 105 1 68
  135                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 105 68 90
  136                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 88 89 90
  137                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 88 90 68
  138                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 86 85 92
  139                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 91 17 86
  140                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 91 86 92
  141                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 88 68 18
  142                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 18 17 91
  143                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 18 91 88
  144                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 87 88 91
  145                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 85 112 111
  146                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 85 111 92
  147                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 93 109 87
  148                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 91 92 93
  149                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 91 93 87
  150                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 92 110 93
  151                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 111 110 92
  152                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 131 109 93
  153                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 131 93 110
  154                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 86 17 69
  155                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 69 16 95
  156                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 69 95 86
  157                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 94 112 85
  158                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 86 95 94
  159                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 86 94 85
  160                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 98 84 76
  161                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 76 118 97
  162                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 76 97 98
  163                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 95 16 99
  164                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 95 99 96
  165                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 98 97 96
  166                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 98 96 99
  167                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 99 16 4
  168                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 84 98 99
  169                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 99 4 117
  170                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 99 117 84
  171                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 94 95 96
  172                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 113 112 94
  173                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 113 94 96
  174                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 132 114 97
  175                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 132 97 118
  176                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 114 113 96
  177                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 114 96 97
  178                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 84 117 116
  179                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 82 100 76
  180                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 119 76 100
  181                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 100 82 120
  182                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 133 119 100
  183                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 133 100 120
  184                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 84 116 83
  185                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 83 82 76
  186                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 83 76 84
  187                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 115 83 116
  188                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 115 6 102
  189                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 121 120 82
  190                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 101 121 82
  191                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 101 82 83
  192                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 83 115 102
  193                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 83 102 101
  194                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 35 34 103
  195                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 102 6 35
  196                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 103 101 102
  197                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 103 102 35
  198                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 122 121 101
  199                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 122 101 103
  200                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 34 74 104
  201                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 104 74 123
  202                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 103 34 104
  203                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 104 123 122
  204                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 104 122 103
 
------------------------------------------------------------
 
