Information listing created by	User
Date	08-Dec-2023 22:29:30
Current work part	C:\Users\User\Documents\GitHub\MComp_24\NX\geometria finalSim_fem12.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  94                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 28 27 26
  95                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 28 61 27
  96                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 52 26 51
  97                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 52 28 26
  98                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 60 29 59
  99                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 29 53 59
  100                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 28 29 60
  101                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 29 52 53
  102                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 29 28 52
  103                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 76 167 165
  104                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 189 187 80
  105                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 56 74 193
  106                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 56 193 78
  107                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 189 80 82
  108                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 82 191 209
  109                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 82 209 189
  110                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 82 80 78
  111                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 193 191 82
  112                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 193 82 78
  113                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 58 57 84
  114                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 175 59 58
  115                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 175 58 177
  116                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 84 179 177
  117                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 84 177 58
  118                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 57 56 78
  119                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 57 78 84
  120                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 86 80 187
  121                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 206 179 86
  122                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 206 86 187
  123                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 86 179 84
  124                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 84 78 80
  125                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 84 80 86
  126                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 98 142 140
  127                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 140 138 102
  128                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 102 100 98
  129                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 102 98 140
  130                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 136 134 104
  131                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 138 196 136
  132                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 104 102 138
  133                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 104 138 136
  134                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 134 66 39
  135                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 134 39 104
  136                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 100 102 104
  137                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 100 104 39
  138                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 96 94 108
  139                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 106 37 96
  140                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 106 96 108
  141                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 100 39 38
  142                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 38 37 106
  143                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 38 106 100
  144                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 98 100 106
  145                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 94 153 151
  146                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 94 151 108
  147                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 110 142 98
  148                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 106 108 110
  149                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 106 110 98
  150                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 108 149 110
  151                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 151 149 108
  152                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 198 142 110
  153                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 198 110 149
  154                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 96 37 36
  155                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 36 35 114
  156                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 36 114 96
  157                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 112 153 94
  158                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 96 114 112
  159                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 96 112 94
  160                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 120 92 76
  161                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 76 165 118
  162                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 76 118 120
  163                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 114 35 122
  164                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 114 122 116
  165                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 120 118 116
  166                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 120 116 122
  167                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 122 35 69
  168                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 92 120 122
  169                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 122 69 163
  170                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 122 163 92
  171                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 112 114 116
  172                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 155 153 112
  173                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 155 112 116
  174                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 201 157 118
  175                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 201 118 165
  176                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 157 155 116
  177                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 157 116 118
  178                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 92 163 161
  179                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 88 124 76
  180                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 167 76 124
  181                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 124 88 169
  182                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 204 167 124
  183                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 204 124 169
  184                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 92 161 90
  185                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 90 88 76
  186                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 90 76 92
  187                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 159 90 161
  188                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 159 71 128
  189                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 171 169 88
  190                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 126 171 88
  191                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 126 88 90
  192                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 90 159 128
  193                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 90 128 126
  194                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 61 60 130
