Listagem de informações criada por	PC
Data	05-Dec-2023 00:11:24
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final_fem1.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  158                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 76 349 350
  159                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 75 349 76
  160                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 77 350 351
  161                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 76 350 77
  162                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 78 351 352
  163                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 77 351 78
  164                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 79 352 353
  165                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 78 352 79
  166                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 80 353 354
  167                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 79 353 80
  168                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 81 354 419
  169                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 80 354 81
  170                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 81 419 375
  171                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 81 375 376
  172                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 83 376 377
  173                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 81 376 82
  174                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 82 376 83
  175                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 84 377 378
  176                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 83 377 84
  177                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 85 378 379
  178                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 84 378 85
  179                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 86 379 380
  180                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 85 379 86
  181                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 87 380 422
  182                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 86 380 87
  183                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 87 422 387
  184                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 88 387 388
  185                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 87 387 88
  186                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 89 388 389
  187                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 88 388 89
  188                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 91 389 390
  189                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 89 389 90
  190                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 90 389 91
  191                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 92 390 391
  192                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 91 390 92
  193                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 93 391 392
  194                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 92 391 93
  195                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 94 392 424
  196                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 93 392 94
  197                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 94 424 399
  198                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 95 399 400
  199                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 94 399 95
  200                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 96 400 401
  201                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 95 400 96
