Information listing created by	User
Date	10-Dec-2023 21:43:42
Current work part	C:\Users\User\Desktop\Nx\geometria finalSim_fem3.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  140                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 33 81 138
  141                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 119 138 81
  142                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 120 119 81
  143                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 81 33 80
  144                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 81 80 120
  145                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 72 113 112
  146                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 114 70 115
  147                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 104 103 87
  148                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 88 105 104
  149                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 87 86 88
  150                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 87 88 104
  151                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 102 89 132
  152                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 102 132 2
  153                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 89 88 86
  154                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 89 86 132
  155                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 89 102 101
  156                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 101 126 105
  157                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 105 88 89
  158                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 105 89 101
  159                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 16 132 86
  160                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 91 17 16
  161                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 91 16 86
  162                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 90 85 84
  163                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 84 17 91
  164                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 84 91 90
  165                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 91 86 87
  166                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 85 90 109
  167                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 85 109 108
  168                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 87 103 92
  169                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 92 90 91
  170                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 92 91 87
  171                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 127 110 92
  172                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 127 92 103
  173                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 110 90 92
  174                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 109 90 110
  175                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 96 95 106
  176                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 128 115 96
  177                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 128 96 106
  178                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 70 83 97
  179                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 96 115 70
  180                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 96 70 97
  181                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 95 96 97
  182                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 97 83 94
  183                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 97 94 95
  184                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 107 106 95
  185                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 93 85 108
  186                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 93 108 107
  187                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 95 94 93
  188                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 95 93 107
  189                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 94 83 82
  190                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 98 93 94
  191                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 82 19 98
  192                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 82 98 94
  193                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 93 98 99
  194                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 99 84 85
  195                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 99 85 93
  196                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 84 99 133
