Listagem de informações criada por	PC
Data	05-Dec-2023 00:42:00
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final 2_fem1.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  279                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 99 100 65
  280                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 89 76 88
  281                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 88 77 87
  282                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 88 76 77
  283                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 98 68 97
  284                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 98 67 68
  285                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 69 95 68
  286                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 69 94 95
  287                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 97 95 96
  288                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 97 68 95
  289                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 91 73 90
  290                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 91 72 73
  291                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 74 90 73
  292                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 89 75 76
  293                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 75 90 74
  294                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 75 89 90
  295                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 94 70 93
  296                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 94 69 70
  297                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 92 71 91
  298                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 71 72 91
  299                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 70 92 93
  300                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 70 71 92
 
------------------------------------------------------------
 
