# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
673
613 597.1311 581.5269
614 655.0836 513.7595
615 739.9116 510.8613
616 799.6504 575.8805
617 835.3913 670.7708
618 553.3 737.2691
619 577.2658 627.3133
620 621.8721 543.9396
621 697.1072 500.0741
622 774.1731 539.2713
623 820.7544 622.1007
624 846.4593 734.9681
625 1824.5845 0
626 1649.169 0
627 1473.7535 0
628 1298.338 0
629 1122.9225 0
630 947.507 0
631 772.0915 0
632 598.2399 0
633 437.2227 0
634 303.3208 0
635 1386.0458 0
636 1210.6303 0
637 1035.2148 0
638 859.7993 0
639 685.1657 0
640 517.7313 0
641 370.2718 0
642 251.6604 0
643 1912.2923 0
644 1736.8768 0
645 1561.4613 0
646 1027.7356 800
647 1222.058 800
648 1416.5435 800
649 1611.029 800
650 1805.5145 800
651 938.8678 800
652 1124.8968 800
653 1319.3008 800
654 1513.7863 800
655 1708.2718 800
656 1902.7573 800
657 2000 600
658 2000 400
659 2000 200
660 2000 700
661 2000 500
662 2000 300
663 2000 100
664 -2000 0
665 -2000 800
666 -1000 800
667 -200 0
668 -400 800
669 200 0
670 550 800
671 850 800
672 2000 0
673 2000 800
# Matriz de incidências/conectividades
300
1 1 6 2 627 628 116 635 117
2 1 6 1 627 2 118 116 119
3 1 6 3 628 629 120 636 121
4 1 6 2 628 3 117 120 122
5 1 6 4 629 630 123 637 124
6 1 6 3 629 4 121 123 125
7 1 6 5 630 631 126 638 127
8 1 6 4 630 5 124 126 128
9 1 6 6 631 632 129 639 130
10 1 6 5 631 6 127 129 131
11 1 6 7 632 633 132 640 133
12 1 6 6 632 7 130 132 134
13 1 6 8 633 634 135 641 136
14 1 6 7 633 8 133 135 137
15 1 6 9 634 669 138 642 139
16 1 6 8 634 9 136 138 140
17 1 6 9 669 588 139 594 141
18 1 6 9 588 589 141 595 142
19 1 6 11 589 590 143 596 144
20 1 6 9 589 10 142 145 146
21 1 6 10 589 11 145 143 147
22 1 6 12 590 591 148 597 149
23 1 6 11 590 12 144 148 150
24 1 6 13 591 592 151 598 152
25 1 6 12 591 13 149 151 153
26 1 6 14 592 593 154 599 155
27 1 6 13 592 14 152 154 156
28 1 6 15 593 667 157 600 158
29 1 6 14 593 15 155 157 159
30 1 6 15 667 548 158 558 160
31 1 6 15 548 549 160 559 161
32 1 6 17 549 550 162 560 163
33 1 6 15 549 16 161 164 165
34 1 6 16 549 17 164 162 166
35 1 6 18 550 551 167 561 168
36 1 6 17 550 18 163 167 169
37 1 6 19 551 552 170 562 171
38 1 6 18 551 19 168 170 172
39 1 6 20 552 553 173 563 174
40 1 6 19 552 20 171 173 175
41 1 6 21 553 554 176 564 177
42 1 6 20 553 21 174 176 178
43 1 6 22 554 555 179 565 180
44 1 6 21 554 22 177 179 181
45 1 6 23 555 556 182 566 183
46 1 6 22 555 23 180 182 184
47 1 6 24 556 557 185 567 186
48 1 6 23 556 24 183 185 187
49 1 6 25 557 664 188 568 189
50 1 6 24 557 25 186 188 190
51 1 6 25 664 530 189 533 191
52 1 6 26 530 531 192 534 193
53 1 6 25 530 26 191 192 194
54 1 6 27 531 532 195 535 196
55 1 6 26 531 27 193 195 197
56 1 6 28 532 665 198 536 199
57 1 6 27 532 28 196 198 200
58 1 6 28 665 537 199 542 201
59 1 6 29 537 538 202 543 203
60 1 6 28 537 29 201 202 204
61 1 6 30 538 539 205 544 206
62 1 6 29 538 30 203 205 207
63 1 6 31 539 540 208 545 209
64 1 6 30 539 31 206 208 210
65 1 6 32 540 541 211 546 212
66 1 6 31 540 32 209 211 213
67 1 6 33 541 666 214 547 215
68 1 6 32 541 33 212 214 216
69 1 6 33 666 569 215 578 217
70 1 6 33 569 570 217 579 218
71 1 6 34 570 571 219 580 220
72 1 6 33 570 34 218 219 221
73 1 6 35 571 572 222 581 223
74 1 6 34 571 35 220 222 224
75 1 6 36 572 573 225 582 226
76 1 6 35 572 36 223 225 227
77 1 6 37 573 574 228 583 229
78 1 6 36 573 37 226 228 230
79 1 6 38 574 575 231 584 232
80 1 6 37 574 38 229 231 233
81 1 6 39 575 576 234 585 235
82 1 6 38 575 39 232 234 236
83 1 6 40 576 577 237 586 238
84 1 6 39 576 40 235 237 239
85 1 6 41 577 668 240 587 241
86 1 6 40 577 41 238 240 242
87 1 6 41 668 601 241 606 243
88 1 6 41 601 602 243 607 244
89 1 6 43 602 603 245 608 246
90 1 6 41 602 42 244 247 248
91 1 6 42 602 43 247 245 249
92 1 6 44 603 604 250 609 251
93 1 6 43 603 44 246 250 252
94 1 6 45 604 605 253 610 254
95 1 6 44 604 45 251 253 255
96 1 6 46 605 670 256 611 257
97 1 6 45 605 46 254 256 258
98 1 6 46 670 612 257 618 259
99 1 6 47 612 613 260 619 261
100 1 6 46 612 47 259 260 262
101 1 6 48 613 614 263 620 264
102 1 6 47 613 48 261 263 265
103 1 6 49 614 615 266 621 267
104 1 6 48 614 49 264 266 268
105 1 6 50 615 616 269 622 270
106 1 6 49 615 50 267 269 271
107 1 6 51 616 617 272 623 273
108 1 6 50 616 51 270 272 274
109 1 6 52 617 671 275 624 276
110 1 6 51 617 52 273 275 277
111 1 6 52 671 646 276 651 278
112 1 6 53 646 647 279 652 280
113 1 6 52 646 53 278 279 281
114 1 6 54 647 648 282 653 283
115 1 6 53 647 54 280 282 284
116 1 6 55 648 649 285 654 286
117 1 6 54 648 55 283 285 287
118 1 6 56 649 650 288 655 289
119 1 6 55 649 56 286 288 290
120 1 6 57 650 673 291 656 292
121 1 6 56 650 57 289 291 293
122 1 6 57 673 657 292 660 294
123 1 6 58 657 658 295 661 296
124 1 6 57 657 58 294 295 297
125 1 6 59 658 659 298 662 299
126 1 6 58 658 59 296 298 300
127 1 6 60 659 672 301 663 302
128 1 6 59 659 60 299 301 303
129 1 6 60 672 625 302 643 304
130 1 6 61 625 626 305 644 306
131 1 6 60 625 61 304 305 307
132 1 6 1 626 627 308 645 118
133 1 6 61 626 1 306 308 309
134 1 6 15 16 14 165 310 159
135 1 6 25 26 24 194 311 190
136 1 6 41 42 40 248 312 242
137 1 6 60 61 59 307 313 303
138 1 6 63 3 4 314 125 315
139 1 6 62 3 63 316 314 317
140 1 6 64 4 5 318 128 319
141 1 6 63 4 64 315 318 320
142 1 6 65 5 6 321 131 322
143 1 6 64 5 65 319 321 323
144 1 6 66 6 7 324 134 325
145 1 6 65 6 66 322 324 326
146 1 6 67 7 8 327 137 328
147 1 6 66 7 67 325 327 329
148 1 6 10 8 9 330 140 146
149 1 6 67 8 10 328 330 331
150 1 6 68 10 11 332 147 333
151 1 6 67 10 68 331 332 334
152 1 6 69 11 12 335 150 336
153 1 6 68 11 69 333 335 337
154 1 6 70 12 13 338 153 339
155 1 6 69 12 70 336 338 340
156 1 6 71 13 14 341 156 342
157 1 6 70 13 71 339 341 343
158 1 6 72 14 16 344 310 345
159 1 6 71 14 72 342 344 346
160 1 6 73 16 17 347 166 348
161 1 6 72 16 73 345 347 349
162 1 6 74 17 18 350 169 351
163 1 6 73 17 74 348 350 352
164 1 6 75 18 19 353 172 354
165 1 6 74 18 75 351 353 355
166 1 6 76 19 20 356 175 357
167 1 6 75 19 76 354 356 358
168 1 6 77 20 21 359 178 360
169 1 6 76 20 77 357 359 361
170 1 6 78 21 22 362 181 363
171 1 6 77 21 78 360 362 364
172 1 6 79 22 23 365 184 366
173 1 6 78 22 79 363 365 367
174 1 6 80 23 24 368 187 369
175 1 6 79 23 80 366 368 370
176 1 6 80 24 26 369 311 371
177 1 6 81 26 27 372 197 373
178 1 6 80 26 81 371 372 374
179 1 6 82 27 28 375 200 376
180 1 6 81 27 82 373 375 377
181 1 6 82 28 29 376 204 378
182 1 6 83 29 30 379 207 380
183 1 6 82 29 83 378 379 381
184 1 6 84 30 31 382 210 383
185 1 6 83 30 84 380 382 384
186 1 6 85 31 32 385 213 386
187 1 6 84 31 85 383 385 387
188 1 6 86 32 33 388 216 389
189 1 6 85 32 86 386 388 390
190 1 6 86 33 34 389 221 391
191 1 6 88 34 35 392 224 393
192 1 6 86 34 87 391 394 395
193 1 6 87 34 88 394 392 396
194 1 6 89 35 36 397 227 398
195 1 6 88 35 89 393 397 399
196 1 6 89 36 37 398 230 400
197 1 6 90 37 38 401 233 402
198 1 6 89 37 90 400 401 403
199 1 6 91 38 39 404 236 405
200 1 6 90 38 91 402 404 406
201 1 6 92 39 40 407 239 408
202 1 6 91 39 92 405 407 409
203 1 6 92 40 42 408 312 410
204 1 6 93 42 43 411 249 412
205 1 6 92 42 93 410 411 413
206 1 6 94 43 44 414 252 415
207 1 6 93 43 94 412 414 416
208 1 6 95 44 45 417 255 418
209 1 6 94 44 95 415 417 419
210 1 6 96 45 46 420 258 421
211 1 6 95 45 96 418 420 422
212 1 6 96 46 47 421 262 423
213 1 6 97 47 48 424 265 425
214 1 6 96 47 97 423 424 426
215 1 6 99 48 49 427 268 428
216 1 6 97 48 98 425 429 430
217 1 6 98 48 99 429 427 431
218 1 6 100 49 50 432 271 433
219 1 6 99 49 100 428 432 434
220 1 6 102 50 51 435 274 436
221 1 6 100 50 101 433 437 438
222 1 6 101 50 102 437 435 439
223 1 6 103 51 52 440 277 441
224 1 6 102 51 103 436 440 442
225 1 6 103 52 53 441 281 443
226 1 6 104 53 54 444 284 445
227 1 6 103 53 104 443 444 446
228 1 6 105 54 55 447 287 448
229 1 6 104 54 105 445 447 449
230 1 6 106 55 56 450 290 451
231 1 6 105 55 106 448 450 452
232 1 6 107 56 57 453 293 454
233 1 6 106 56 107 451 453 455
234 1 6 107 57 58 454 297 456
235 1 6 108 58 59 457 300 458
236 1 6 107 58 108 456 457 459
237 1 6 109 59 61 460 313 461
238 1 6 108 59 109 458 460 462
239 1 6 109 61 1 461 309 463
240 1 6 110 1 2 464 119 465
241 1 6 109 1 110 463 464 466
242 1 6 62 2 3 467 122 316
243 1 6 110 2 62 465 467 468
244 1 6 82 83 81 381 469 377
245 1 6 107 108 106 459 470 455
246 1 6 79 111 78 471 472 367
247 1 6 80 112 79 473 474 370
248 1 6 112 81 83 475 469 476
249 1 6 112 80 81 473 374 475
250 1 6 112 111 79 477 471 474
251 1 6 84 112 83 478 476 384
252 1 6 84 111 112 479 477 478
253 1 6 85 111 84 480 479 387
254 1 6 78 87 77 481 482 364
255 1 6 78 111 87 472 483 481
256 1 6 87 85 86 484 390 395
257 1 6 87 111 85 483 480 484
258 1 6 101 63 64 485 320 486
259 1 6 101 115 63 487 488 485
260 1 6 108 113 106 489 490 470
261 1 6 113 109 110 491 466 492
262 1 6 113 108 109 489 462 491
263 1 6 105 113 114 493 494 495
264 1 6 105 106 113 452 490 493
265 1 6 114 110 62 496 468 497
266 1 6 114 113 110 494 492 496
267 1 6 114 104 105 498 449 495
268 1 6 104 102 103 499 442 446
269 1 6 102 115 101 500 487 439
270 1 6 102 104 115 499 501 500
271 1 6 115 62 63 502 317 488
272 1 6 114 115 104 503 501 498
273 1 6 114 62 115 497 502 503
274 1 6 67 99 66 504 505 329
275 1 6 67 98 99 506 431 504
276 1 6 65 100 64 507 508 323
277 1 6 100 101 64 438 486 508
278 1 6 99 65 66 509 326 505
279 1 6 99 100 65 434 507 509
280 1 6 89 76 88 510 511 399
281 1 6 88 77 87 512 482 396
282 1 6 88 76 77 511 361 512
283 1 6 98 68 97 513 514 430
284 1 6 98 67 68 506 334 513
285 1 6 69 95 68 515 516 337
286 1 6 69 94 95 517 419 515
287 1 6 97 95 96 518 422 426
288 1 6 97 68 95 514 516 518
289 1 6 91 73 90 519 520 406
290 1 6 91 72 73 521 349 519
291 1 6 74 90 73 522 520 352
292 1 6 89 75 76 523 358 510
293 1 6 75 90 74 524 522 355
294 1 6 75 89 90 523 403 524
295 1 6 94 70 93 525 526 416
296 1 6 94 69 70 517 340 525
297 1 6 92 71 91 527 528 409
298 1 6 71 72 91 346 521 528
299 1 6 70 92 93 529 413 526
300 1 6 70 71 92 343 527 529
# Propriedades do material
1
1 1
